#,competition_id,code,fetch_status,label,name,name_gr,rank,nobet_count,overall_match_count,overall_rating,overall_score,overall_tip_count,tipsdnb,tips_lost,tips_won,unknown_count,season,type,country,overall_coefficient,new_coefficient
1,131,england-premier-league,PARTLY_FETCHED,"",Чемпионат Англии. Премьер-лига,ΑΓΓΛΙΑ - ΠΡΕΜΙΕΡ ΛΙΓΚ,58,174,691,220,198.9667243397368,510,6,295,209,7,_2021_2022,LEAGUE,2,192.85460126957025,200.72307230532002
2,2377,austria-bundesliga,PARTLY_FETCHED,"",Чемпионат Австрии. Бундеслига,ΑΥΣΤΡΙΑ - Α ΑΥΣΤΡΙΑΣ,64,87,279,187,150.3886704944833,187,7,105,75,5,_2021_2022,LEAGUE,7,66.64730034072421,80.30299647181484
3,20997,italy-super-cup,PARTLY_FETCHED,"",Супер Кубок Италии,ΙΤΑΛΙΑ - ΣΟΥΠΕΡ ΚΑΠ ΙΤΑΛΙΑΣ,91,0,3,41,43.34452895538931,3,0,3,0,0,_2021_2022,CUP,5,0.7222222222222222,0
4,1225,peru-primera-division,PARTLY_FETCHED,"",Чемпионат Перу,ΠΕΡΟΥ - Α ΠΕΡΟΥ,60,83,177,212,178.79206085522628,94,1,48,45,0,_2021_2022,LEAGUE,32,32.17916042674227,44.315545334774264
5,567,denmark-superliga,PARTLY_FETCHED,"",Чемпионат Дании. Суперлига,ΔΑΝΙΑ - Α ΔΑΝΙΑΣ,32,84,244,339,181.39906213798554,155,3,77,75,5,_2021_2022,LEAGUE,9,39.11566641948788,96.7063729454437
6,29344,world-friendly,PARTLY_FETCHED,"",Сборные - Товарищеские,ΔΙΕΘΝΗ - ΦΙΛΙΚΑ,999,2,2,0,0,0,0,0,0,0,_2021_2022,INTERNATIONAL,2929,0,0
7,998,argentina-a,PARTLY_FETCHED,"",Чемпионат Аргентины. Примера,ΑΡΓΕΝΤΙΝΗ - Α ΑΡΓΕΝΤΙΝΗΣ,44,141,478,284,234.0930545611104,323,5,154,164,14,_2021_2022,LEAGUE,23,102.78346034138264,120.98265355851531
8,20996,spain-super-cup,PARTLY_FETCHED,"",Супер Кубок Испании,ΙΣΠΑΝΙΑ - ΣΟΥΠΕΡ ΚΑΠ ΙΣΠΑΝΙΑΣ,92,2,5,41,43.309726088005796,3,0,3,0,0,_2021_2022,CUP,4,0.6774193548387097,0
9,29345,fifa-wc-qualifiers-afrika,PARTLY_FETCHED,"",Отборочные чемпионата мира - Африка,ΔΙΕΘΝΗ - ΠΡΟΚΡΙΜΑΤΙΚΑ ΜΟΥΝΤΙΑΛ ΑΦΡΙΚΗΣ,14,1,16,586,572.9735343459532,15,0,3,12,0,_2021_2022,INTERNATIONAL,2929,5.2754545454545445,10.252727272727276
10,29277,fifa-wc-qualifiers-north-america,PARTLY_FETCHED,"",Отборочные чемпионата мира - Северная Америка,ΔΙΕΘΝΗ - ΠΡΟΚΡΙΜΑΤΙΚΑ ΜΟΥΝΤΙΑΛ ΒΟΡΕΙΟΥ ΑΜΕΡΙΚΗΣ,53,2,18,249,258.8823706250953,16,1,6,9,0,_2021_2022,INTERNATIONAL,2929,10.83936063936064,7.515384615384615
11,1515,serbia-a,PARTLY_FETCHED,,Чемпионат Сербии,ΣΕΡΒΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,50,0,0
12,29276,fifa-wc-qualifiers-asia,PARTLY_FETCHED,"",Отборочные чемпионата мира - Асия,ΔΙΕΘΝΗ - ΠΡΟΚΡΙΜΑΤΙΚΑ ΜΟΥΝΤΙΑΛ ΑΣΙΑΣ,88,6,24,58,41.29743721673424,18,0,15,3,0,_2021_2022,INTERNATIONAL,2929,4.365457204242053,10.456361149110805
13,278,germany-bundesliga,PARTLY_FETCHED,"",Чемпионат Германии. Бундеслига,ΓΕΡΜΑΝΙΑ - Α ΓΕΡΜΑΝΙΑΣ,52,146,577,260,166.57509805710876,425,3,257,165,6,_2021_2022,LEAGUE,2253,158.84078020121171,192.87008516724958
14,29278,fifa-wc-qualifiers-europe,PARTLY_FETCHED,"",Отборочные чемпионата мира - Европа,ΔΙΕΘΝΗ - ΠΡΟΚΡΙΜΑΤΙΚΑ ΜΟΥΝΤΙΑΛ ΕΥΡΩΠΗΣ,67,4,10,167,177.51489795918366,6,0,3,3,0,_2021_2022,INTERNATIONAL,2929,3.604897959183673,0
15,1088,brazil-serie-b,PARTLY_FETCHED,"",Чемпионат Бразилии. Лига B,ΒΡΑΖΙΛΙΑ - Β ΒΡΑΖΙΛΙΑΣ,57,226,366,222,111.34126754378082,112,5,66,41,28,_2021_2022,LEAGUE,25,27.580030414994074,67.85691262747694
16,1487,ukraine,PARTLY_FETCHED,,Чемпионат Украини,ΟΥΚΡΑΝΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,48,0,0
17,674,norway-obos-ligaen,PARTLY_FETCHED,"",Чемпионат Норвегии. 1-й дивизион,ΝΟΡΒΗΓΙΑ - Β ΝΟΡΒΗΓΙΑΣ,46,72,378,277,133.4389487419391,304,4,174,126,2,_2021_2022,LEAGUE,13,75.90620604152195,128.25368638169147
18,359,spain-laliga-2,PARTLY_FETCHED,"",Чемпионат Испании. Второй дивизион,ΙΣΠΑΝΙΑ - Β ΙΣΠΑΝΙΑΣ,30,306,617,358,248.4774365836871,293,2,139,152,18,_2021_2022,LEAGUE,4,105.51359721507056,145.3863039039888
19,953,czech-a,PARTLY_FETCHED,"",Чемпионат Чехии,ΤΣΕΧΙΑ - Α ΤΣΕΧΙΑΣ,24,87,342,427,242.17198007593225,251,3,111,137,4,_2021_2022,LEAGUE,2307,64.13060698424403,131.61680999010164
20,1294,japan-b,PARTLY_FETCHED,,Чемпионат Японии. Второй дивизион,Β ΙΑΠΩΝΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,35,0,0
21,539,belgium-jupiler-league,PARTLY_FETCHED,"",Чемпионат Бельгии. Премьер-лига,ΒΕΛΓΙΟ - Α ΒΕΛΓΙΟΥ,66,163,553,168,258.3050022461422,380,3,194,183,10,_2021_2022,LEAGUE,2379,165.3112908980062,132.7164880753046
22,1558,egypt-premier-league,PARTLY_FETCHED,,Чемпионат Египта,ΑΙΓΥΠΤΟΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,53,0,0
23,2046,england-comunity-shield,PARTLY_FETCHED,,Чемпионат Англии. Комюнити шилд,ΑΓΓΛΙΑ - ΚΟΜΙΟΥΝΙΤΙ ΣΙΛΝΤ,10,0,3,690,697.9469801980198,3,0,0,3,0,_2021_2022,LEAGUE,2,2.8,0
24,29279,fifa-wc-qualifiers-south-america,PARTLY_FETCHED,"",Отборочные чемпионата мира - Южная Америка,ΔΙΕΘΝΗ - ΠΡΟΚΡΙΜΑΤΙΚΑ ΜΟΥΝΤΙΑΛ ΝΟΤΙΟΥ ΑΜΕΡΙΚΗΣ,38,7,16,311,307.0393599334996,9,0,3,6,0,_2021_2022,INTERNATIONAL,2929,1.8466666666666667,3.6399999999999997
25,80,europa-league,PARTLY_FETCHED,"",Лига Европы УЕФА,ΔΙΕΘΝΗ - ΓΙΟΥΡΟΠΑ ΛΙΓΚ,70,100,305,153,192.05702721812497,205,3,104,98,0,_2021_2022,INTERNATIONAL,2929,65.68107492786687,51.69311631350011
26,130,greece-cup,PARTLY_FETCHED,"",Кубок Греции,ΕΛΛΑΔΑ - ΚΥΠΕΛΛΟ ΕΛΛΑΔΑΣ,68,23,93,160,137.9660254167252,70,1,39,30,0,_2021_2022,CUP,14091,17.666184127047607,25.910565130417964
27,733,poland-ekstraklasa,PARTLY_FETCHED,"",Чемпионат Польшы,ΠΟΛΩΝΙΑ - Α ΠΟΛΩΝΙΑΣ,55,153,501,229,112.84589045860517,344,1,224,119,4,_2021_2022,LEAGUE,15,113.6639276569519,156.0653778307069
28,1643,south-africa-a,PARTLY_FETCHED,,Чемпионат Южной Африки,ΝOTIA ΑΦΡΙΚΗ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,58,0,0
29,808,russia-fnl,PARTLY_FETCHED,,Чемпионат России. ФНЛ,Β ΡΩΣΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,17,0,0
30,1474,hungary-a,PARTLY_FETCHED,,Чемпионат Венгрии,ΟΥΓΓΑΡΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,47,0,0
31,1461,wales-premier-league,PARTLY_FETCHED,,Чемпионат Уэльс,ΟΥΑΛΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,46,0,0
32,1212,paraguay-primera-division,PARTLY_FETCHED,"",Чемпионат Парагвая,ΠΑΡΑΓΟΥΑΗ - Α ΠΑΡΑΓΟΥΑΗΣ,83,21,90,90,78.80552257845311,69,0,48,21,0,_2021_2022,LEAGUE,2133,20.97441872209725,25.119183744346092
33,566,belgian-cup,PARTLY_FETCHED,"",Кубок Бельгии,ΒΕΛΓΙΟ - ΚΥΠΕΛΛΟ ΒΕΛΓΙΟΥ,94,8,25,16,6.432078928970268,16,1,15,0,1,_2021_2022,CUP,2379,2.6071039133550284,6.152818255714823
34,383,italy-serie-a,PARTLY_FETCHED,"",Чемпионат Италии. Серия А,ΙΤΑΛΙΑ - Α ΙΤΑΛΙΑΣ,41,192,687,303,182.50613020435398,489,2,269,218,6,_2021_2022,LEAGUE,5,144.93546152541617,188.89153612304634
35,2318,scotland-premiersip,PARTLY_FETCHED,"",Чемпионат Шотландии. Премьер-лига,ΣΚΩΤΙΑ - ΠΡΕΜΙΕΡΣΙΠ,40,100,393,309,173.86370030783976,290,5,156,129,3,_2021_2022,LEAGUE,18,89.19232491773721,138.68947175766078
36,1975,england-championship,PARTLY_FETCHED,"",Чемпионат Англии. Чемпионшип,ΑΓΓΛΙΑ - ΤΣΑΜΠΙΟΝΣΙΠ,19,285,1080,499,125.38626139814586,792,5,511,276,3,_2021_2022,LEAGUE,2,245.2869582595353,381.4884858830411
