#,country_id,code,name,flag
1,11,ireland,Ирландия,IRE
2,2136,chile,ΧΙΛΗ,CHL
3,2133,paraguay,ΠΑΡΑΓΟΥΑΗ,PRY
4,2171,uruguay,ΟΥΡΟΥΓΟΥΑΗ,URY
5,2239,ecuador,ΙΣΗΜΕΡΙΝΟΣ,ECU
6,2246,portugal,ΠΟΡΤΟΓΑΛΙΑ,PRT
7,2253,germany,ΓΕΡΜΑΝΙΑ,DEU
8,2270,netherlands,ΟΛΛΑΝΔΙΑ,NLD
9,2307,czech,ΤΣΕΧΙΑ,CZE
10,2379,belgium,ΒΕΛΓΙΟ,BEL
11,2814,south-korea,Ν. ΚΟΡΕΑ,KOR
12,2929,world-international,ΔΙΕΘΝΗ,WORL
13,10,switzerland,Швейцария,CHE
14,14091,,ΕΛΛΑΔΑ,GRC
15,42,israel,Исраиль,ISR
16,20,turkey,Турция,TUR
17,36,china,Китай,CHN
18,22,finland,Финландия,FIN
19,57,morocco,Мароко,MRC
20,7,austria,Австрия,AUT
21,50,serbia,Сербия,SRB
22,24,bolivia,Боливия,BOL
23,45,lithuania,Литва,LTH
24,44,letonia,Латвия,LAT
25,39,northern-ireland,Северная Ирландия,NIR
26,56,iran,Иран,IRN
27,8,belgium,Бельгия,BEG
28,41,iceland,Исландия,ICE
29,17,russia,Россия,RUS
30,48,ukraine,Украина,UKR
31,59,saudi,Саудийская Арабия,SAR
32,4,spain,Испания,ESP
33,52,slovenia,Словения,SLO
34,2,england,Англия,ENG
35,58,south,Южная Африка,SAF
36,47,hungary,Венгрия,HUN
37,29,mexico,Мексико,MEX
38,35,japan,Япония,JPN
39,25,brazil,Бразилия,BRA
40,54,algeria,Алгерия,ALG
41,18,scotland,Шкотландия,SCO
42,32,peru,Перу,PER
43,19,sweden,Швеция,SWE
44,1,greece,Греция,GRE
45,23,argentina,Аргентина,ARG
46,13,norway,Норвигия,NOR
47,43,croatia,Хорватия,CRO
48,55,uae,ОАЭ,UAE
49,26,usa,США,USA
50,53,egypt,Египт,EGY
51,60,tunisia,Тунисия,TUN
52,38,albania,Альбания,ALB
53,12,cyprus,Кипр,CYP
54,46,wales,Уэльс,WLS
55,6,france,Франция,FRA
56,28,colombia,Колумбия,COL
57,9,denmark,Дания,DNK
58,49,romania,Румыния,ROM
59,5,italy,Италия,ITA
60,40,bulgaria,Болгария,BLG
61,34,australia,Австралия,AUS
62,15,poland,Польша,POL
63,51,slovakia,Словакия,SLK
