#,fault_id,created,message,updated,url
1,1857,2021-10-31 17:09:37.482000,org.springframework.transaction.TransactionSystemException: Could not commit JPA transaction; nested exception is javax.persistence.RollbackException: Error while committing the transaction,,"<tr>
 <td> <span class=""flag flag-icon KOR""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/soygon-giegioy-7-8-21-14-00-stoichima/""> ΣΟΥΓΟΝ - ΓΙΕΓΙΟΥ </a></td>
 <td> Ν. Κορέα - A' N. Κορέας</td>
 <td> 14:19 06/0"
2,1859,2021-10-31 17:09:37.503000,org.springframework.transaction.TransactionSystemException: Could not commit JPA transaction; nested exception is javax.persistence.RollbackException: Error while committing the transaction,,"<tr>
 <td> <span class=""flag flag-icon KOR""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/seongknam-pochangk-7-8-21-14-00-stoichima/""> ΣΕΟΝΓΚΝΑΜ - ΠΟΧΑΝΓΚ </a></td>
 <td> Ν. Κορέα - A' N. Κορέας</td>
 <td> 14:"
3,1861,2021-10-31 17:09:37.532000,org.springframework.transaction.TransactionSystemException: Could not commit JPA transaction; nested exception is javax.persistence.RollbackException: Error while committing the transaction,,"<tr>
 <td> <span class=""flag flag-icon KOR""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/oylsan-gkangkvon-7-8-21-14-00-stoichima/""> ΟΥΛΣΑΝ - ΓΚΑΝΓΚΒΟΝ </a></td>
 <td> Ν. Κορέα - A' N. Κορέας</td>
 <td> 14:18 "
4,1863,2021-10-31 17:09:37.547000,org.springframework.transaction.TransactionSystemException: Could not commit JPA transaction; nested exception is javax.persistence.RollbackException: Error while committing the transaction,,"<tr>
 <td> <span class=""flag flag-icon KOR""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/gieonmpoyk-ntaegoy-7-8-21-13-00-stoichima/""> ΓΙΕΟΝΜΠΟΥΚ - ΝΤΑΕΓΟΥ </a></td>
 <td> Ν. Κορέα - A' N. Κορέας</td>
 <td> 14"
5,1865,2021-10-31 17:09:37.558000,org.springframework.transaction.TransactionSystemException: Could not commit JPA transaction; nested exception is javax.persistence.RollbackException: Error while committing the transaction,,"<tr>
 <td> <span class=""flag flag-icon NLD""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/nte-gkraafstsap-ronta-7-8-21-17-30-stoichima/""> ΝΤΕ ΓΚΡΑΑΦΣΤΣΑΠ - ΡΟΝΤΑ </a></td>
 <td> Ολλανδία - Β' Ολλανδίας</td>
 <"
6,1866,2021-10-31 17:09:37.564000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/o-athoryvos-mantalos-o-asygkratitos-kamara-kai-to-violi-toy-karlitos-oi-apodoseis-tis-stoiximan/"" class=""text-primary text-center"">
    <div class=""of"
7,1868,2021-10-31 17:09:37.683000,org.springframework.dao.DataIntegrityViolationException: could not execute statement; SQL [n/a]; constraint [team_competition_pkey]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement,,"<tr>
 <td> <span class=""flag flag-icon BRA""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/koritimpa-gkoias-7-8-21-01-30-stoichima/""> ΚΟΡΙΤΙΜΠΑ - ΓΚΟΪΑΣ </a></td>
 <td> Βραζιλία - Β' Βραζιλίας</td>
 <td> 13:33 "
8,1872,2021-10-31 17:09:37.823000,org.springframework.dao.DataIntegrityViolationException: could not execute statement; SQL [n/a]; constraint [team_competition_pkey]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement,,"<tr>
 <td> <span class=""flag flag-icon MEX""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/masatlan-monterei-7-8-21-03-00-stoichima/""> ΜΑΣΑΤΛΑΝ - ΜΟΝΤΕΡΕΪ </a></td>
 <td> Μεξικό - Α' Μεξικού</td>
 <td> 12:33 06"
9,1874,2021-10-31 17:09:37.856000,org.springframework.dao.DataIntegrityViolationException: could not execute statement; SQL [n/a]; constraint [team_competition_pkey]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement,,"<tr>
 <td> <span class=""flag flag-icon COL""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/atl-oyila-kintio-7-8-21-04-05-stoichima/""> ΑΤΛ. ΟΥΙΛΑ - ΚΙΝΤΙΟ </a></td>
 <td> Κολομβία - Α' Κολομβίας</td>
 <td> 12:30"
10,1876,2021-10-31 17:09:37.868000,org.springframework.transaction.TransactionSystemException: Could not commit JPA transaction; nested exception is javax.persistence.RollbackException: Error while committing the transaction,,"<tr>
 <td> <span class=""flag flag-icon PRT""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/sportingk-vizela-6-8-21-22-15-stoichima/""> ΣΠΟΡΤΙΝΓΚ - ΒΙΖΕΛΑ </a></td>
 <td> Πορτογαλία - Α' Πορτογαλίας</td>
 <td> 12"
11,1878,2021-10-31 17:09:37.880000,org.springframework.transaction.TransactionSystemException: Could not commit JPA transaction; nested exception is javax.persistence.RollbackException: Error while committing the transaction,,"<tr>
 <td> <span class=""flag flag-icon ECU""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/koyenka-manta-7-8-21-03-00-stoichima/""> ΚΟΥΕΝΚΑ - ΜΑΝΤΑ </a></td>
 <td> Ισημερινός - Α' Ισημερινού</td>
 <td> 12:08 06/"
12,1879,2021-10-31 17:09:37.886000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/superleague-kai-eyropaika-protathlimata-me-0-gkaniota-sto-pamestoixima-gr/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 cl"
13,1880,2021-10-31 17:09:37.916000,org.springframework.dao.DataIntegrityViolationException: could not execute statement; SQL [n/a]; constraint [team_competition_pkey]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement,,"<tr>
 <td> <span class=""flag flag-icon ARG""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/nioyels-platense-7-8-21-03-15-stoichima/""> ΝΙΟΥΕΛΣ - ΠΛΑΤΕΝΣΕ </a></td>
 <td> Αργεντινή - Α' Αργεντινής</td>
 <td> 11:5"
14,1882,2021-10-31 17:09:37.926000,org.springframework.transaction.TransactionSystemException: Could not commit JPA transaction; nested exception is javax.persistence.RollbackException: Error while committing the transaction,,"<tr>
 <td> <span class=""flag flag-icon PRY""></span></td>
 <td style=""font-weight: 900;""> <a href=""https://www.matchmoney.com.gr/match/gkoyarani-olimpia-7-8-21-02-30-stoichima/""> ΓΚΟΥΑΡΑΝΙ - ΟΛΙΜΠΙΑ </a></td>
 <td> Παραγουάη - Α' Παραγουάης</td>
 <td> 11"
