#,nobet_count,overall_match_count,overall_rating,overall_score,overall_tip_count,tipsdnb,tips_lost,tips_won,unknown_count,tipman_tipman_id,competition_competition_id,overall_coefficient,rank,new_coefficient
1,1,5,0,0,2,0,0,2,2,1845,1351,0,1000,0
2,1,1,0,0,0,0,0,0,0,1972,29344,0,,0
3,1,1,0,0,0,0,0,0,0,2062,29278,0,,0
4,0,0,0,0,0,0,0,0,0,2076,913,0,,0
5,0,0,0,0,0,0,0,0,0,1832,1135,0,,0
6,7,23,61,52.63754587713081,16,1,12,3,0,1845,277,4.123268398268398,137,7.4
7,2,2,0,0,0,0,0,0,0,1832,29278,0,,0
8,3,14,83,76.96860655152494,11,0,8,3,0,1838,79,2.602923976608187,135,4.966666666666667
9,14,35,84,76.09145554032273,21,0,15,6,0,1838,2937,5.982470530953591,134,9.029282937890008
10,0,3,690,698.0069801980198,3,0,0,3,0,1845,29278,2.86,17,0
11,2,20,327,330.7406766506204,18,0,6,12,0,1972,79,7.474656679151062,49,6.305555555555555
12,8,41,415,413.5276964627764,28,0,8,20,5,2441,1351,6.9683346425765915,38,7.600000000000001
13,3,9,1223,1216.4889603960396,6,0,0,6,0,2441,29279,1.18,8,3.6399999999999997
14,13,49,253,177.36764014590983,36,0,18,18,0,2441,1174,8.96264014590983,71,36.66369408440584
15,0,6,1224,1219.4939603960397,6,0,0,6,0,1853,1274,4.2,7,6
16,1,1,0,0,0,0,0,0,0,3160,29344,0,,0
17,10,28,64,40.833872412276996,18,0,15,3,0,1832,789,3.8818923997848187,136,12.569458253120953
18,3,30,210,223.13135785339443,27,0,12,15,0,1832,790,11.857783679681917,86,7.2036734693877555
19,64,271,502,144.36067090452494,207,3,117,87,0,2441,1051,60.22342617950165,27,190.49626427366724
20,9,16,695,695.7719801980197,3,0,0,3,4,1838,1351,0.56,16,0.56
21,127,260,263,181.3205739054802,130,0,67,63,3,1838,643,41.21317793429947,68,70.93916056990848
22,1,1,0,0,0,0,0,0,0,2001,3007,0,1000,0
23,30,85,100,93.38389435055008,55,1,36,18,0,2001,275,18.721026206805135,127,21.16362473317911
24,25,82,409,384.57400402644464,57,0,18,39,0,2441,2932,20.37469839782819,40,29.29197866958612
25,1,1,0,0,0,0,0,0,0,2062,1356,0,,0
26,1,1,0,0,0,0,0,0,0,2155,2932,0,1000,0
27,79,283,443,222.0743494824631,204,3,96,105,0,2441,1153,64.88390983706574,33,145.40261393608455
28,1,1,0,0,0,0,0,0,0,1838,1356,0,,0
29,6,24,58,41.29743721673424,18,0,15,3,0,1853,29276,4.365457204242053,139,10.456361149110805
30,0,3,41,43.29443788070807,3,0,3,0,0,3107,1354,0.6721311475409836,153,0
31,69,281,336,153.0804388329725,211,1,120,90,1,1853,2815,68.95028306072226,48,135.81627360079995
32,15,42,282,218.86055282724288,27,0,12,15,0,1838,656,7.526978653530376,64,30.529819376026285
33,1,1,0,0,0,0,0,0,0,2460,1356,0,,0
34,0,3,41,43.36720469235076,3,0,3,0,0,2439,29278,0.7448979591836735,154,0
35,26,48,120,112.23052596812815,16,0,10,6,6,1853,1351,4.809090909090909,119,7.785420393559928
36,0,4,44,33.83439061271397,4,0,4,0,0,1853,1350,0.4949494949494949,145,4.454545454545454
37,1,16,586,572.9735343459532,15,0,3,12,0,2501,29345,5.2754545454545445,22,10.252727272727276
38,6,15,12,15.3767923060546,9,0,9,0,0,2001,80,2.0544496487119437,170,1.180327868852459
39,2,8,175,175.40392156862745,6,0,3,3,0,2155,997,1.503921568627451,95,1.4
40,3,18,8,6.568674141793167,15,0,15,0,0,2062,1360,2.788699126177928,171,3.402298850574713
41,142,613,452,205.55466701041695,469,7,257,205,2,1832,1175,166.0696177875186,31,255.81966259051075
42,176,279,187,175.85763661477748,85,1,43,41,18,3107,359,23.965374628865195,90,28.25229493776662
43,18,140,106,124.79189103455236,106,2,62,42,16,1845,275,30.37862964747096,125,23.831115678227125
44,130,338,348,250.4772886618677,208,1,96,111,0,1835,359,81.5482225862054,44,117.13400896622223
45,1,1,0,0,0,0,0,0,0,2013,29278,0,,0
46,63,167,137,140.01412497630682,99,2,55,42,5,2441,1136,27.106871807229858,112,26.13128574144564
47,194,407,272,190.39262981276624,179,3,88,88,34,2149,1067,46.767629812766245,66,76.5591855337279
48,5,14,120,99.83365668093198,9,0,6,3,0,2062,876,2.2666666666666666,120,9.742857142857142
49,0,1,0,0,0,0,0,0,1,2460,1351,0,1000,0
50,0,0,0,0,0,0,0,0,0,2062,1355,0,,0
51,0,0,0,0,0,0,0,0,0,3160,1355,0,,0
